Course Code,Course Title,Duration (min),Instructors,Days,Start Time,End Time,Enrollment,Class Venues
EDU 3203-LEC 1,Instructional Skills Training,75,Ayesha Husian,TR,2:00 PM,3:15 PM,25,SAHSOL CR 2-02
EDU 3207-LEC 1,Socio Emotional Learning,75,Mariam Haider,TR,3:30 PM,4:45 PM,25,Lib Bldg SOE 03
EDU 321-LEC 1,learning and assessment,75,Fizza Suhail,TR,2:00 PM,3:15 PM,25,Lib Bldg SOE 03
EDU 325-LEC 1,Work it,75,Mehreen Noon,MW,12:00 PM,1:15 PM,25,Lib Bldg SOE 03
EDU 353-LEC 1,Education and Conflict,75,Hasham Nasir,TR,10:00 AM,11:15 AM,20,Acad Block A-6
EDU 422-LEC 1,Behavior Analysis for Effective Teaching,75,Aaishay Haque,MW,2:00 PM,3:15 PM,25,Lib Bldg SOE 03
EDU 526-LEC 1,and Intellectual Disability,75,Mariam Haider,TR,10:00 AM,11:15 AM,19,Lib Bldg SOE 03
EE 203-LEC 1,Engineering Models,75,Hassan Mohy-ud-Din,TR,9:30 AM,10:45 AM,65,SBASSE 9-B2
EE 240-LEC 1,Circuits I,75,Zubair Khalid,TR,1:00 PM,2:15 PM,80,Acad Block A-8
EE 330-LEC 1,Electromagnetic Fields and Waves,75,Cheema,MW,9:30 AM,10:45 AM,60,SBASSE 10-301
EE 340-LEC 1,Devices and Electronics,75,Nauman Ahmad Zaffar,MW,12:30 PM,1:45 PM,60,Acad Block A-16
EE 380-LEC 1,Communication Systems,75,Ijaz Haider Naqvi,MW,11:00 AM,12:15 PM,60,SBASSE 10-301
EE 414-LEC 1,Deep Learning,75,Hassan Mohy-ud-Din,TR,11:30 AM,12:45 PM,25,SBASSE 10-201
EE 421-LEC 1,Digital System Design,75,Shahid Masud,MW,11:30 AM,12:45 PM,30,SBASSE 10-204
EE 452-LEC 1,Power Electronics,75,Hafsa Qamar,MW,1:30 PM,2:45 PM,15,SBASSE 10-202
EE 453-LEC 1,Power Systems Protection and Stability,75,Raheel Zafar,MW,3:00 PM,4:15 PM,15,SBASSE 10-202
EE 5203-LEC 1,and Physics Informed ML,75,Nauman Zafar Butt,TR,9:30 AM,10:45 AM,50,SBASSE 10-302
EE 5216-LEC 1,Hardware Design for IoT Security,75,Muhammad Ali Siddiqi,MW,10:00 AM,11:15 AM,20,SBASSE 10-204
EE 5502-LEC 1,Local Solutions for Energy Access,75,Nauman Ahmad Zaffar,MW,9:00 AM,10:15 AM,50,SBASSE 10-302
EE 5502-LEC 1,Local Solutions for Energy Access,75,Naveed Arshad,MW,9:00 AM,10:15 AM,50,SBASSE 10-302
ENGL 1000-LEC 1,Introduction to Literature in English,110,Tom Edward Sewel,TR,2:00 PM,3:50 PM,65,SAHSOL SBACR 0-01
ENGL 1192-LEC 1,Introduction to Humour Writing,110,Younis Bin Azeem,MW,2:00 PM,3:50 PM,65,SAHSOL CR 1-01
