Course Code, Section, Duration, Instructors, Class Venues, Days
SS 100, LEC 11, 2, Zainab Sattar, SAHSOL CR 2-07, MW
SS 100, LEC 8, 2, Huda Imtiaz, SAHSOL CR 2-02, MW
SS 100, LEC 4, 2, Aneeqa Mazhar Wattoo, SAHSOL CR 2-06, MW
SS 100, LEC 15, 2, Uzma Safdar, Acad Block A-14, MW
SS 100, LEC 13, 2, Kaleem Bhatti, Acad Block A-2, MW
SS 100, LEC 16, 2, Aamna Khalid, SAHSOL CR 1-06, TR
SS 100, LEC 3, 2, Afsheen Salahuddin, Acad Block A-6, TR
SS 100, LEC 5, 2, Mahrukh Baig, SAHSOL CR 2-07, TR
SS 100, LEC 9, 2, Faiza Asghar Dar, SAHSOL CR 2-02, TR
SS 100, LEC 21, 2, Farhana Shahzad, Acad Block A-6, TR
SS 100, LEC 23, 2, Syed Javed Nazir, SAHSOL CR 2-06, TR
SS 100, LEC 14, 2, Hajra Ikram Butt, SAHSOL CR 1-06, TR
SS 100, LEC 2, 2, Rizvi, SAHSOL CR 2-07, TR
SS 100, LEC 18, 2, Huda Imtiaz, SAHSOL CR 2-06, TR
SS 100, LEC 1, 2, Hajra Ikram Butt, SAHSOL CR 1-06, TR
GSL 202, LEC 1, 2, Sarah Humayun, Acad Block A-14, MW
